institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	issn_l	license_ref	indexed_in_crossref	pmid	pmcid	ut	url	doaj
cth	2017	2200	10.1007/s10562-017-2083-8	TRUE	Springer	Catalysis Letters	1011-372X	1011-372X	1572-879X	1011-372X	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000405957500004	NA	FALSE
cth	2017	2200	10.1007/s10562-017-2133-2	TRUE	Springer	Catalysis Letters	1011-372X	1011-372X	1572-879X	1011-372X	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000407719300013	NA	FALSE
cth	2017	2200	10.1007/s10570-017-1283-0	TRUE	Springer	Cellulose	0969-0239	0969-0239	1572-882X	0969-0239	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000400851800012	NA	FALSE
cth	2017	2200	10.1007/s10570-017-1288-8	TRUE	Springer	Cellulose	0969-0239	0969-0239	1572-882X	0969-0239	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000400851800007	NA	FALSE
cth	2017	2200	10.1007/s10570-017-1582-5	TRUE	Springer	Cellulose	0969-0239	0969-0239	1572-882X	0969-0239	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000419902600027	NA	FALSE
cth	2017	2200	10.1007/s10687-017-0294-4	TRUE	Springer	Extremes	1386-1999	1386-1999	1572-915X	1386-1999	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000425354300005	NA	FALSE
cth	2017	2200	10.1007/s10687-017-0305-5	TRUE	Springer	Extremes	1386-1999	1386-1999	1572-915X	1386-1999	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000418057300001	NA	FALSE
cth	2017	2200	10.1007/s10703-017-0274-y	TRUE	Springer	Formal Methods in System Design	0925-9856	0925-9856	1572-8102	0925-9856	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000407584600008	NA	FALSE
cth	2017	2200	10.1007/s10705-017-9861-y	TRUE	Springer	Nutrient Cycling in Agroecosystems	1385-1314	1385-1314	1573-0867	1385-1314	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000419907000003	NA	FALSE
cth	2017	2200	10.1007/s10921-017-0397-5	TRUE	Springer	Journal of Nondestructive Evaluation	0195-9298	0195-9298	1573-4862	0195-9298	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000404608200001	NA	FALSE
