doi	institution	period	euro	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	issn_l	license_ref	indexed_in_crossref	pmid	pmcid	ut	url	doaj
10.1007/s40571-016-0120-9	ltu	2016	2200	TRUE	Springer	Computational Particle Mechanics	2196-4378	2196-4378	2196-4386	2196-4386	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	NA	NA	FALSE
10.1007/s40831-016-0072-6	cth	2016	2200	TRUE	Springer	Journal of Sustainable Metallurgy	2199-3823	2199-3823	2199-3831	NA	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000400824500005	NA	FALSE
10.1007/s11896-016-9206-9	gu	2016	2200	TRUE	Springer	Journal of Police and Criminal Psychology	0882-0783	0882-0783	1936-6469	0882-0783	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	NA	NA	FALSE
10.1007/s13361-016-1460-7	kth	2016	2200	TRUE	Springer	Journal of The American Society for Mass Spectrometry	1044-0305	1044-0305	1879-1123	1044-0305	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000385158400002	NA	FALSE
10.1007/s00502-016-0424-8	umu	2016	2200	TRUE	Springer	e & i Elektrotechnik und Informationstechnik	0932-383X	0932-383X	1613-7620	0932-383X	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000384882400003	NA	FALSE
10.1007/s10534-016-9959-8	ki	2016	2200	TRUE	Springer	BioMetals	0966-0844	0966-0844	1572-8773	0966-0844	http://creativecommons.org/licenses/by/4.0	TRUE	27530256	PMC5034004	ut:000385252400006	NA	FALSE
10.1007/s10948-016-3666-0	cth	2016	2200	TRUE	Springer	Journal of Superconductivity and Novel Magnetism	1557-1939	1557-1939	1557-1947	1557-1939	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000392334000002	NA	FALSE
10.1007/s00425-016-2580-9	slu	2016	2200	TRUE	Springer	Planta	0032-0935	0032-0935	1432-2048	0032-0935	http://creativecommons.org/licenses/by/4.0	TRUE	27541497	PMC5226999	ut:000392420500002	NA	FALSE
10.1007/s00466-016-1317-8	kth	2016	2200	TRUE	Springer	Computational Mechanics	0178-7675	0178-7675	1432-0924	0178-7675	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000385167200003	NA	FALSE
10.1007/s00167-016-4294-8	liu	2016	2200	TRUE	Springer	Knee Surgery, Sports Traumatology, Arthroscopy	0942-2056	0942-2056	1433-7347	0942-2056	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000401438900004	NA	FALSE
10.1007/s00464-016-5173-6	ki	2016	2200	TRUE	Springer	Surgical Endoscopy	0930-2794	0930-2794	1432-2218	0930-2794	http://creativecommons.org/licenses/by/4.0	TRUE	27572065	PMC5346119	ut:000398176000061	NA	FALSE
10.1007/s12122-016-9233-4	lnu	2016	2200	TRUE	Springer	Journal of Labor Research	0195-3613	0195-3613	1936-4768	0195-3613	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000388182800001	NA	FALSE
10.1007/s00420-016-1163-1	gu	2016	2200	TRUE	Springer	International Archives of Occupational and Environmental Health	0340-0131	0340-0131	1432-1246	0340-0131	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000385249600012	NA	FALSE
10.1007/s10980-016-0434-2	slu	2016	2200	TRUE	Springer	Landscape Ecology	0921-2973	0921-2973	1572-9761	0921-2973	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000392301500013	NA	FALSE
10.1007/s10822-016-9948-6	lu	2016	2200	TRUE	Springer	Journal of Computer-Aided Molecular Design	0920-654X	0920-654X	1573-4951	0920-654X	http://creativecommons.org/licenses/by/4.0	TRUE	27573983	PMC5239820	ut:000392326500010	NA	FALSE
10.1007/s00208-016-1447-5	uu	2016	2200	TRUE	Springer	Mathematische Annalen	0025-5831	0025-5831	1432-1807	0025-5831	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000406037300004	NA	FALSE
10.1007/s11365-016-0405-8	lu	2016	2200	TRUE	Springer	International Entrepreneurship and Management Journal	1554-7191	1554-7191	1555-1938	1554-7191	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000394301700011	NA	FALSE
10.1007/s00606-016-1335-1	su	2016	2200	TRUE	Springer	Plant Systematics and Evolution	0378-2697	0378-2697	2199-6881	0378-2697	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000385192100012	NA	FALSE
10.1007/s10570-016-1029-4	miu	2016	2200	TRUE	Springer	Cellulose	0969-0239	0969-0239	1572-882X	0969-0239	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000382634300026	NA	FALSE
10.1007/s10853-016-0262-4	liu	2016	2200	TRUE	Springer	Journal of Materials Science	0022-2461	0022-2461	1573-4803	0022-2461	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000383102400009	NA	FALSE
10.1007/s00244-016-0303-7	hk	2016	2200	TRUE	Springer	Archives of Environmental Contamination and Toxicology	0090-4341	0090-4341	1432-0703	0090-4341	http://creativecommons.org/licenses/by/4.0	TRUE	27480162	PMC5014903	ut:000382937100013	NA	FALSE
10.1007/s00726-016-2316-y	ki	2016	2200	TRUE	Springer	Amino Acids	0939-4451	0939-4451	1438-2199	0939-4451	http://creativecommons.org/licenses/by/4.0	TRUE	27573935	PMC5107209	ut:000387713700010	NA	FALSE
10.1007/s10113-016-1039-7	su	2016	2200	TRUE	Springer	Regional Environmental Change	1436-3798	1436-3798	1436-378X	1436-3798	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000394276200017	NA	FALSE
10.1007/s10892-016-9238-5	uu	2016	2200	TRUE	Springer	The Journal of Ethics	1382-4554	1382-4554	1572-8609	1382-4554	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	NA	NA	FALSE
10.1007/s11225-016-9681-0	kth	2016	2200	TRUE	Springer	Studia Logica	0039-3215	0039-3215	1572-8730	0039-3215	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000394273900003	NA	FALSE
