institution	period	euro	doi	is_hybrid
gu	2017	2200	10.1007/s13280-017-0938-2	TRUE
gu	2017	2200	10.1007/s11569-017-0297-2	TRUE
gu	2017	2200	10.1007/s00396-017-4172-z	TRUE
gu	2017	2200	10.1007/s00464-017-5808-2	TRUE
gu	2017	2200	10.1007/s12152-017-9341-8	TRUE
gu	2017	2200	10.1007/s13158-017-0197-1	TRUE
gu	2017	2200	10.1007/s11695-017-2833-0	TRUE
gu	2017	2200	10.1007/s12108-017-9363-z	TRUE
gu	2017	2200	10.1007/s11999-017-5507-2	TRUE
gu	2017	2200	10.1007/s13158-017-0202-8	TRUE
gu	2017	2200	10.1007/s10858-017-0127-4	TRUE
gu	2017	2200	10.1007/s10096-017-3101-x	TRUE
gu	2017	2200	10.1007/s00192-017-3481-6	TRUE
gu	2017	2200	10.1007/s00192-017-3446-9	TRUE
gu	2017	2200	10.1007/s11075-017-0416-8	TRUE
gu	2017	2200	10.1007/s10728-017-0347-5	TRUE
gu	2017	2200	10.1007/s11153-017-9643-0	TRUE
gu	2017	2200	10.1007/s00384-017-2900-y	TRUE
gu	2017	2200	10.1007/s00766-017-0280-z	TRUE
gu	2017	2200	10.1007/s10822-017-0059-9	TRUE
gu	2017	2200	10.1007/s00294-017-0748-x	TRUE
gu	2017	2200	10.1007/s11213-017-9428-5	TRUE
gu	2017	2200	10.1007/s12035-017-0759-0	TRUE
gu	2017	2200	10.1007/s10554-017-1239-3	TRUE
gu	2017	2200	10.1007/s00422-017-0730-1	TRUE
gu	2017	2200	10.1007/s00167-017-4725-1	TRUE
gu	2017	2200	10.1007/s10037-017-0117-8	TRUE
gu	2017	2200	10.1007/s00153-017-0582-3	TRUE
gu	2017	2200	10.1007/s00455-017-9847-6	TRUE
gu	2017	2200	10.1007/s11158-017-9375-0	TRUE
gu	2017	2200	10.1007/s00153-017-0592-1	TRUE
gu	2017	2200	10.1007/s10533-017-0391-0	TRUE
gu	2017	2200	10.1007/s00586-017-5331-0	TRUE
gu	2017	2200	10.1007/s11217-017-9584-1	TRUE
gu	2017	2200	10.1007/s00167-017-4747-8	TRUE
gu	2017	2200	10.1007/s11356-017-0528-7	TRUE
gu	2017	2200	10.1007/s00223-017-0336-6	TRUE
gu	2017	2200	10.1007/s11165-017-9668-5	TRUE
gu	2017	2200	10.1007/s00394-017-1556-2	TRUE
gu	2017	2200	10.1007/s00280-017-3434-2	TRUE
gu	2017	2200	10.1007/s13280-017-0950-6	TRUE
gu	2017	2200	10.1007/s10111-017-0446-y	TRUE
gu	2017	2200	10.1007/s10798-017-9432-1	TRUE
gu	2017	2200	10.1007/s40496-017-0156-9	TRUE
gu	2017	2200	10.1007/s00167-017-4785-2	TRUE
gu	2017	2200	10.1007/s00415-017-8680-z	TRUE
gu	2017	2200	10.1007/s00701-017-3394-7	TRUE
gu	2017	2200	10.1007/s00415-017-8665-y	TRUE
gu	2017	2200	10.1007/s00228-017-2360-x	TRUE
gu	2017	2200	10.1007/s10096-017-3139-9	TRUE
gu	2017	2200	10.1007/s10677-017-9845-7	TRUE
gu	2017	2200	10.1007/s00167-017-4793-2	TRUE
gu	2017	2200	10.1007/s00198-017-4296-5	TRUE
gu	2017	2200	10.1007/s12678-017-0435-1	TRUE
gu	2017	2200	10.1007/s11266-017-9917-2	TRUE
gu	2017	2200	10.1007/s00268-017-4324-9	TRUE
gu	2017	2200	10.1007/s00421-017-3751-5	TRUE
gu	2017	2200	10.1007/s00167-017-4811-4	TRUE
gu	2017	2200	10.1007/s13280-017-0933-7	TRUE
gu	2017	2200	10.1007/s13127-017-0331-9	TRUE
gu	2017	2200	10.1007/s10611-017-9748-5	TRUE
gu	2017	2200	10.1007/s11256-017-0437-6	TRUE
gu	2017	2200	10.1007/s00238-017-1378-8	TRUE
gu	2017	2200	10.1007/s00415-017-8719-1	TRUE
gu	2017	2200	10.1007/s11695-017-3061-3	TRUE
gu	2017	2200	10.1007/s10611-017-9747-6	TRUE
gu	2017	2200	10.1007/s11060-017-2699-y	TRUE
gu	2017	2200	10.1007/s10887-017-9152-0	TRUE
gu	2017	2200	10.1007/s00167-017-4733-1	TRUE
hb	2017	2200	10.1007/s10924-017-0965-x	TRUE
hb	2017	2200	10.1007/s12129-017-9628-6	TRUE
hb	2017	2200	10.1007/s11024-017-9329-x	TRUE
hb	2017	2200	10.1007/s12010-017-2525-1	TRUE
hb	2017	2200	10.1007/s00226-017-0944-3	TRUE
hb	2017	2200	10.1007/s11664-017-6015-6	TRUE
hh	2017	2200	10.1007/s12369-017-0411-1	TRUE
hh	2017	2200	10.1007/s10843-017-0201-8	TRUE
hh	2017	2200	10.1007/s12671-017-0711-4	TRUE
hh	2017	2200	10.1007/s10618-017-0538-6	TRUE
hh	2017	2200	10.1007/s00779-017-1072-7	TRUE
hh	2017	2200	10.1007/s11265-017-1300-4	TRUE
hhs	2017	2200	10.1007/s00780-017-0327-5	TRUE
hhs	2017	2200	10.1007/s40926-017-0065-y	TRUE
hhs	2017	2200	10.1007/s11166-017-9261-3	TRUE
hhs	2017	2200	10.1007/s10018-017-0194-5	TRUE
hhs	2017	2200	10.1007/s40505-017-0127-2	TRUE
hig	2017	2200	10.1007/s10943-017-0383-3	TRUE
hig	2017	2200	10.1007/s10488-017-0806-1	TRUE
his	2017	2200	10.1007/s12652-017-0457-9	TRUE
his	2017	2200	10.1007/s12528-017-9146-0	TRUE
his	2017	2200	10.1007/s12369-017-0446-3	TRUE
hj	2017	2200	10.1007/s10519-017-9851-5	TRUE
hj	2017	2200	10.1007/s00466-017-1431-2	TRUE
hj	2017	2200	10.1007/s10614-017-9725-1	TRUE
hj	2017	2200	10.1007/s10973-017-6611-y	TRUE
hj	2017	2200	10.1007/s10973-017-6612-x	TRUE
hj	2017	2200	10.1007/s11663-017-1061-2	TRUE
hj	2017	2200	10.1007/s11661-017-4315-3	TRUE
hj	2017	2200	10.1007/s40962-017-0179-y	TRUE
hj	2017	2200	10.1007/s40962-017-0178-z	TRUE
hj	2017	2200	10.1007/s40962-017-0186-z	TRUE
hk	2017	2200	10.1007/s10344-017-1086-5	TRUE
hk	2017	2200	10.1007/s12553-016-0176-9	TRUE
hk	2017	2200	10.1007/s00187-016-0244-3	TRUE
hk	2017	2200	10.1007/s11126-017-9509-8	TRUE
hk	2017	2200	10.1007/s13280-017-0920-z	TRUE
hk	2017	2200	10.1007/s10663-017-9375-5	TRUE
hk	2017	2200	10.1007/s11135-017-0525-4	TRUE
hk	2017	2200	10.1007/s11165-016-9596-9	TRUE
hk	2017	2200	10.1007/s10368-017-0390-6	TRUE
hk	2017	2200	10.1007/s11165-017-9628-0	TRUE
hk	2017	2200	10.1007/s11191-017-9920-4	TRUE
hk	2017	2200	10.1007/s10344-017-1156-8	TRUE
hv	2017	2200	10.1007/s40194-017-0448-7	TRUE
hv	2017	2200	10.1007/s00024-017-1538-6	TRUE
hv	2017	2200	10.1007/s40194-017-0470-9	TRUE
hv	2017	2200	10.1007/s40839-017-0036-6	TRUE
hv	2017	2200	10.1007/s11666-017-0555-4	TRUE
hv	2017	2200	10.1007/s10732-017-9351-z	TRUE
hv	2017	2200	10.1007/s11666-017-0595-9	TRUE
hv	2017	2200	10.1007/s00170-017-1019-1	TRUE
hv	2017	2200	10.1007/s11661-017-4232-5	TRUE
hv	2017	2200	10.1007/s00158-017-1798-x	TRUE
hv	2017	2200	10.1007/s40194-017-0513-2	TRUE
hv	2017	2200	10.1007/s00170-017-1349-z	TRUE
hv	2017	2200	10.1007/s00170-017-1342-6	TRUE
hv	2017	2200	10.1007/s11666-017-0672-0	TRUE
kau	2017	2200	10.1007/s12144-016-9551-y	TRUE
kau	2017	2200	10.1007/s00607-017-0552-y	TRUE
kau	2017	2200	10.1007/s10337-017-3298-y	TRUE
kau	2017	2200	10.1007/s13163-017-0230-9	TRUE
kau	2017	2200	10.1007/s10639-017-9602-5	TRUE
kau	2017	2200	10.1007/s10668-017-9948-2	TRUE
kau	2017	2200	10.1007/s10750-017-3246-8	TRUE
kau	2017	2200	10.1007/s11116-017-9781-3	TRUE
kau	2017	2200	10.1007/s10389-017-0809-0	TRUE
kau	2017	2200	10.1007/s00187-017-0248-7	TRUE
kau	2017	2200	10.1007/s10750-017-3217-0	TRUE
kau	2017	2200	10.1007/s11249-017-0876-y	TRUE
kau	2017	2200	10.1007/s11998-017-9937-2	TRUE
kau	2017	2200	10.1007/s12053-017-9541-4	TRUE
kau	2017	2200	10.1007/s10198-017-0929-z	TRUE
kau	2017	2200	10.1007/s11294-017-9655-7	TRUE
kau	2017	2200	10.1007/s11191-017-9950-y	TRUE
ki	2017	2200	10.1007/s10461-016-1662-9	TRUE
ki	2017	2200	10.1007/s10067-016-3525-1	TRUE
ki	2017	2200	10.1007/s10654-016-0220-0	TRUE
ki	2017	2200	10.1007/s00296-016-3641-x	TRUE
ki	2017	2200	10.1007/s10910-016-0728-2	TRUE
ki	2017	2200	10.1208/s12248-016-0027-7	TRUE
ki	2017	2200	10.1007/s11136-016-1479-z	TRUE
ki	2017	2200	10.1007/s00431-016-2843-2	TRUE
ki	2017	2200	10.1007/s00394-016-1356-0	TRUE
ki	2017	2200	10.1007/s41465-017-0011-x	TRUE
ki	2017	2200	10.1007/s12026-017-8905-3	TRUE
ki	2017	2200	10.1007/s00464-016-5407-7	TRUE
ki	2017	2200	10.1007/s00420-017-1200-8	TRUE
ki	2017	2200	10.1007/s40336-017-0223-1	TRUE
ki	2017	2200	10.1007/s11897-017-0325-0	TRUE
ki	2017	2200	10.1007/s10549-017-4164-1	TRUE
ki	2017	2200	10.1007/s00520-017-3625-8	TRUE
ki	2017	2200	10.1007/s10549-017-4163-2	TRUE
ki	2017	2200	10.1007/s11695-017-2603-z	TRUE
ki	2017	2200	10.1007/s11695-017-2576-y	TRUE
ki	2017	2200	10.1007/s12529-016-9629-9	TRUE
ki	2017	2200	10.1007/s11999-017-5250-8	TRUE
ki	2017	2200	10.1007/s11940-017-0439-4	TRUE
ki	2017	2200	10.1007/s00134-017-4773-5	TRUE
ki	2017	2200	10.1007/s00216-017-0284-z	TRUE
ki	2017	2200	10.1007/s00228-017-2236-0	TRUE
ki	2017	2200	10.1007/s00268-017-3961-3	TRUE
ki	2017	2200	10.1007/s00424-017-1967-1	TRUE
ki	2017	2200	10.1007/s00787-017-0983-1	TRUE
ki	2017	2200	10.1007/s10910-017-0743-y	TRUE
ki	2017	2200	10.1007/s11605-017-3389-y	TRUE
ki	2017	2200	10.1007/s00213-017-4609-6	TRUE
ki	2017	2200	10.1007/s10096-017-2950-7	TRUE
ki	2017	2200	10.1007/s11901-017-0343-0	TRUE
ki	2017	2200	10.1007/s00701-017-3164-6	TRUE
ki	2017	2200	10.1007/s00401-017-1708-8	TRUE
ki	2017	2200	10.1007/s40596-017-0706-4	TRUE
ki	2017	2200	10.1007/s10140-017-1496-4	TRUE
ki	2017	2200	10.1007/s00125-017-4279-2	TRUE
ki	2017	2200	10.1007/s10654-017-0264-9	TRUE
ki	2017	2200	10.1007/s11882-017-0709-y	TRUE
ki	2017	2200	10.1007/s10654-017-0261-z	TRUE
ki	2017	2200	10.1007/s40266-017-0469-3	TRUE
ki	2017	2200	10.1007/s13752-017-0265-7	TRUE
ki	2017	2200	10.1007/s00383-017-4093-4	TRUE
ki	2017	2200	10.1007/s00431-017-2917-9	TRUE
ki	2017	2200	10.1007/s10877-017-0021-3	TRUE
ki	2017	2200	10.1007/s10198-017-0894-6	TRUE
ki	2017	2200	10.1007/s10439-017-1847-z	TRUE
ki	2017	2200	10.1007/s40136-017-0151-7	TRUE
ki	2017	2200	10.1007/s00221-017-4948-x	TRUE
ki	2017	2200	10.1007/s11745-017-4256-z	TRUE
ki	2017	2200	10.1007/s12551-017-0265-7	TRUE
ki	2017	2200	10.1007/s00441-017-2626-8	TRUE
ki	2017	2200	10.1007/s00127-017-1409-6	TRUE
ki	2017	2200	10.1007/s00167-017-4606-7	TRUE
ki	2017	2200	10.1007/s00262-017-2029-4	TRUE
ki	2017	2200	10.1007/s00268-017-4029-0	TRUE
ki	2017	2200	10.1007/s10654-017-0250-2	TRUE
ki	2017	2200	10.1007/s10654-017-0268-5	TRUE
ki	2017	2200	10.1007/s10877-017-0032-0	TRUE
ki	2017	2200	10.1007/s12529-017-9669-9	TRUE
ki	2017	2200	10.1007/s40265-017-0777-2	TRUE
ki	2017	2200	10.1007/s13402-017-0340-x	TRUE
ki	2017	2200	10.1007/s00167-017-4621-8	TRUE
ki	2017	2200	10.1007/s00251-017-1011-9	TRUE
ki	2017	2200	10.1007/s12640-017-9786-x	TRUE
ki	2017	2200	10.1007/s00586-017-5218-0	TRUE
ki	2017	2200	10.3758/s13415-017-0519-7	TRUE
ki	2017	2200	10.1007/s00277-017-3061-3	TRUE
ki	2017	2200	10.1007/s00520-017-3793-6	TRUE
ki	2017	2200	10.1007/s00701-017-3266-1	TRUE
ki	2017	2200	10.1007/s40263-017-0445-9	TRUE
ki	2017	2200	10.1007/s10654-017-0283-6	TRUE
ki	2017	2200	10.1007/s10910-017-0769-1	TRUE
ki	2017	2200	10.1007/s00198-017-4150-9	TRUE
ki	2017	2200	10.1007/s10899-017-9704-4	TRUE
ki	2017	2200	10.1007/s00467-017-3781-6	TRUE
ki	2017	2200	10.1007/s00394-017-1526-8	TRUE
ki	2017	2200	10.1007/s00540-017-2403-6	TRUE
ki	2017	2200	10.1007/s00586-017-5248-7	TRUE
ki	2017	2200	10.1007/s12195-017-0504-9	TRUE
ki	2017	2200	10.1007/s12017-017-8461-y	TRUE
ki	2017	2200	10.1007/s10654-017-0297-0	TRUE
ki	2017	2200	10.1007/s00467-017-3766-5	TRUE
ki	2017	2200	10.1007/s40273-017-0559-4	TRUE
ki	2017	2200	10.1007/s00415-017-8571-3	TRUE
