doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1007/s10901-017-9588-8	Chalmers University of Technology	Journal of Housing and the Built Environment	Social Sciences	1566-4910	1573-7772	2018
10.1007/s11005-017-1042-z	Linköping University	Letters in Mathematical Physics	Physics	0377-9017	1573-0530	2018
10.1007/s00330-017-5113-4	Linköping University	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2018
10.1007/s00256-018-2878-8	Karolinska Institute	Skeletal Radiology	Medicine & Public Health	0364-2348	1432-2161	2018
10.1007/s12665-017-7213-5	Lund University	Environmental Earth Sciences	Earth Sciences	1866-6280	1866-6299	2018
10.1007/s11657-018-0420-1	Umea University	Archives of Osteoporosis	Medicine & Public Health	1862-3522	1862-3514	2018
10.3758/s13415-018-0562-z	Stockholm University	"Cognitive, Affective, & Behavioral Neuroscience"	Psychology	1530-7026	1531-135X	2018
10.1007/s11158-018-9393-6	Malmö University	Res Publica	Philosophy	1356-4765	1572-8692	2018
10.1007/s00253-017-8706-6	Swedish University of Agricultural Sciences	Applied Microbiology and Biotechnology	Life Sciences	0175-7598	1432-0614	2018
10.1007/s00330-017-5242-9	Örebro University	European Radiology	Medicine & Public Health	0938-7994	1432-1084	2018
10.1007/s00423-017-1647-9	Lund University	Langenbeck's Archives of Surgery	Medicine & Public Health	1435-2443	1435-2451	2018
10.1007/s00199-018-1100-5	Stockholm University	Economic Theory	Economics	0938-2259	1432-0479	2018
10.1007/s10915-017-0637-y	Uppsala University	Journal of Scientific Computing	Mathematics	0885-7474	1573-7691	2018
10.1007/s10964-017-0795-0	Örebro University	Journal of Youth and Adolescence	Psychology	0047-2891	1573-6601	2018
10.1007/s11886-018-0947-1	Karolinska Institute	Current Cardiology Reports	Medicine & Public Health	1523-3782	1534-3170	2018
10.1007/s40812-017-0085-6	Umea University	Economia e Politica Industriale	Economics	0391-2078	1972-4977	2018
10.1007/s10784-017-9383-8	Lund University	"International Environmental Agreements: Politics, Law and Economics"	Environment	1567-9764	1573-1553	2018
10.1007/s10509-017-3233-6	Lulea University of Technology	Astrophysics and Space Science	Physics	0004-640X	1572-946X	2018
10.1007/s00208-018-1647-2	Stockholm University	Mathematische Annalen	Mathematics	0025-5831	1432-1807	2018
