"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"kth",2017,0,"10.1149/2.0531704jes",TRUE,"The Electrochemical Society (ECS)","Journal of The Electrochemical Society","0013-4651","0013-4651","1945-7111",NA,NA,TRUE,NA,NA,NA,"http://jes.ecsdl.org/content/164/4/C85.full",FALSE
"kth",2017,0,"10.1149/2.0691713jes",TRUE,"The Electrochemical Society (ECS)","Journal of The Electrochemical Society","0013-4651","0013-4651","1945-7111",NA,NA,TRUE,NA,NA,NA,"http://jes.ecsdl.org/content/164/13/C768.full",FALSE
"kth",2017,0,"10.1149/2.1431707jes",TRUE,"The Electrochemical Society (ECS)","Journal of The Electrochemical Society","0013-4651","0013-4651","1945-7111",NA,NA,TRUE,NA,NA,NA,"http://jes.ecsdl.org/content/164/7/A1665.full",FALSE
"kth",2017,1022,"10.1155/2017/2709547",FALSE,"Hindawi Publishing Corporation","Contrast Media & Molecular Imaging","1555-4309","1555-4309","1555-4317",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29097914","PMC5612744",NA,"https://www.hindawi.com/journals/cmmi/2017/2709547/",TRUE
"kth",2017,1022,"10.1155/2017/3845409",FALSE,"Hindawi Publishing Corporation","BioMed Research International","2314-6133","2314-6133","2314-6141",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28630864","PMC5467388",NA,"https://www.hindawi.com/journals/bmri/2017/3845409/",TRUE
"kth",2017,818,"10.1155/2017/4237858",FALSE,"Hindawi Publishing Corporation","International Journal of Biomedical Imaging","1687-4188","1687-4188","1687-4196",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28744304","PMC5506458",NA,"https://www.hindawi.com/journals/ijbi/2017/4237858/",TRUE
"kth",2017,1227,"10.1155/2017/8987626",FALSE,"Hindawi Publishing Corporation","Advances in Civil Engineering","1687-8086","1687-8086","1687-8094",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://www.hindawi.com/journals/ace/2017/8987626/",TRUE
"kth",2017,818,"10.1155/2017/9814179",FALSE,"Hindawi Publishing Corporation","Modelling and Simulation in Engineering","1687-5591","1687-5591","1687-5605",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://www.hindawi.com/journals/mse/2017/9814179/",TRUE
"kth",2017,1547,"10.1186/s12859-017-1505-3",FALSE,"BioMed Central","BMC Bioinformatics","1471-2105",NA,"1471-2105",NA,NA,TRUE,"28187712","PMC5301390",NA,"https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1505-3",TRUE
"kth",2017,1547,"10.1186/s12951-016-0235-4",FALSE,"BioMed Central","Journal of Nanobiotechnology","1477-3155",NA,"1477-3155",NA,NA,TRUE,"28052769","PMC5210221",NA,"https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0235-4",TRUE
"kth",2017,1022,"10.1186/s13638-017-0833-3",FALSE,"Springer","EURASIP Journal on Wireless Communications and Networking","1687-1499",NA,"1687-1499",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://link.springer.com/article/10.1186/s13638-017-0833-3",TRUE
