institution	period	cost	doi	is_hybrid	publisher
slu	2016	1495,39	10.1186/s12936-016-1656-0	FALSE	BMC
slu	2016	1576,36	10.1186/s13028-016-0266-8	FALSE	BMC
slu	2016	1435,1	10.1186/s12864-016-2458-z	FALSE	BMC
slu	2016	1881,94	10.1186/s13750-016-0080-9	FALSE	BMC
slu	2016	1435,69	10.1186/s12870-016-0952-8	FALSE	BMC
slu	2016	1646,46	10.1186/s12870-016-0939-5	FALSE	BMC
slu	2016	2000,46	10.1186/s13068-016-0640-9	FALSE	BMC
slu	2016	1408,19	10.1186/s40793-016-0199-x	FALSE	BMC
slu	2016	1408,19	10.1186/s41065-016-0014-0	FALSE	BMC
slu	2016	1802,53	10.1186/s12863-015-0304-y	FALSE	BMC
slu	2016	1623,98	10.1186/s40575-015-0029-2	FALSE	BMC
slu	2016	1439,65	10.1186/s41065-016-0011-3	FALSE	BMC
slu	2016	900,17	10.1186/s40064-016-2831-z	FALSE	Springer
slu	2016	1653,86	10.1186/s13068-016-0543-9	FALSE	BMC
slu	2016	2087,34	10.1186/s13071-016-1503-8	FALSE	BMC
slu	2016	1428,09	10.1186/s13742-016-0132-7	FALSE	BMC
slu	2016	1555,74	10.1186/s12936-016-1386-3	FALSE	BMC
slu	2016	1686,22	10.1186/s13028-016-0213-8	FALSE	BMC
slu	2016	1560,61	10.1186/s12868-016-0258-7	FALSE	BMC
slu	2016	1594,89	10.1186/s12936-016-1308-4	FALSE	BMC
slu	2016	1559,03	10.1186/s12864-016-2561-1	FALSE	BMC
slu	2016	1816,38	10.1186/s13068-016-0454-9	FALSE	BMC
slu	2016	1530,61	10.1186/s12889-015-2574-8	FALSE	BMC
slu	2016	1530,61	10.1186/s12870-016-0706-7	FALSE	BMC
slu	2016	1350	10.5194/hess-20-2811-2016	FALSE	Copernicus
slu	2016	2976,47	10.1016/j.biombioe.2016.12.002	TRUE	Elsevier
slu	2016	2705,88	10.1016/j.wasman.2016.12.016	TRUE	Elsevier
slu	2016	901,96	10.1016/j.aqrep.2016.12.003	FALSE	Elsevier
slu	2016	2705,88	10.1016/j.ecss.2016.10.027	TRUE	Elsevier
slu	2016	1352,94	10.1016/j.ufug.2016.12.006	TRUE	Elsevier
slu	2016	3156,86	10.1016/j.watres.2015.06.051	TRUE	Elsevier
slu	2016	1623,53	10.1016/j.landusepol.2016.09.016	TRUE	Elsevier
slu	2016	1623,53	10.1016/j.ppees.2016.09.005	TRUE	Elsevier
slu	2016	1352,94	10.1016/j.ufug.2016.08.012	TRUE	Elsevier
slu	2016	1500	10.1016/j.gecco.2016.09.005	FALSE	Elsevier
slu	2016	2705,88	10.1016/j.funeco.2016.07.003	TRUE	Elsevier
slu	2016	2705,88	10.1016/j.soilbio.2016.08.006	TRUE	Elsevier
slu	2016	2705,88	10.1016/j.scitotenv.2016.08.036	TRUE	Elsevier
slu	2016	1082,35	10.1016/j.atmosenv.2016.08.033	TRUE	Elsevier
slu	2016	3247,06	10.1016/j.foreco.2016.06.028	TRUE	Elsevier
slu	2016	2480,39	10.1016/j.geoderma.2016.06.026	TRUE	Elsevier
slu	2016	2976,47	10.1016/j.apenergy.2016.06.061	TRUE	Elsevier
slu	2016	3247,06	10.1016/j.cej.2016.06.107	TRUE	Elsevier
#	slu	2016	2480,39	10.1016/j.cej.2016.06.107	TRUE	Elsevier
slu	2016	2705,88	10.1016/j.forpol.2016.06.008	TRUE	Elsevier
slu	2016	446,27	10.1016/j.dib.2016.04.029	FALSE	Elsevier
slu	2016	2454,49	10.1016/j.biocon.2016.05.007	TRUE	Elsevier
slu	2016	1338,81	10.1016/j.jfe.2016.04.002	TRUE	Elsevier
slu	2016	2677,62	10.1016/j.apsoil.2016.05.011	TRUE	Elsevier
slu	2016	2454,49	10.1016/j.scitotenv.2016.04.147	TRUE	Elsevier
slu	2016	2677,62	10.1016/j.cropro.2016.04.003	TRUE	Elsevier
slu	2016	1338,81	10.1016/j.ufug.2016.04.012	TRUE	Elsevier
slu	2016	1606,57	10.1016/j.landusepol.2016.05.001	TRUE	Elsevier
slu	2016	2677,62	10.1016/j.foodqual.2016.04.009	TRUE	Elsevier
slu	2016	2454,49	10.1016/j.scitotenv.2016.03.230	TRUE	Elsevier
slu	2016	1561,95	10.1016/j.ijppaw.2016.03.001	FALSE	Elsevier
slu	2016	1606,57	10.1016/j.molbiopara.2016.02.004	TRUE	Elsevier
slu	2016	2454,49	10.1016/j.marpolbul.2016.01.050	TRUE	Elsevier
slu	2016	1338,81	10.1016/j.ufug.2015.04.003	TRUE	Elsevier
slu	2016	446,27	10.1016/j.dib.2015.12.048	FALSE	Elsevier
slu	2016	2347,59	10.3389/fpls.2016.02032	FALSE	Frontiers
slu	2016	424,26	10.3389/fpls.2016.01999	FALSE	Frontiers
slu	2016	1729,2	10.3389/fbioe.2016.00089	FALSE	Frontiers
slu	2016	2235,94	10.3389/fimmu.2016.00368	FALSE	Frontiers
slu	2016	1701,32	10.3389/fvets.2016.00057	FALSE	Frontiers
slu	2016	1450,57	10.3389/fpubh.2016.00137	FALSE	Frontiers
slu	2016	1279,91	10.3389/fimmu.2016.00247	FALSE	Frontiers
slu	2016	1858,85	10.3389/fpls.2016.00654	FALSE	Frontiers
slu	2016	1416,62	10.3389/fpubh.2016.00098	FALSE	Frontiers
slu	2016	1748,84	10.3389/fgene.2016.00057	FALSE	Frontiers
slu	2016	1748,84	10.3389/fvets.2016.00031	FALSE	Frontiers
slu	2016	566,99	10.3389/fevo.2016.00024	FALSE	Frontiers
slu	2016	914,33	10.3389/fpls.2016.00119	FALSE	Frontiers
slu	2016	232,02	10.3390/foods5040089	FALSE	MDPI
slu	2016	1658,17	10.3390/s16111950	FALSE	MDPI
slu	2016	787,56	10.3390/f7100233	FALSE	MDPI
slu	2016	1456,76	10.3390/ijms17101673	FALSE	MDPI
slu	2016	910,48	10.3390/f7090206	FALSE	MDPI
slu	2016	910,48	10.3390/f7090207	FALSE	MDPI
slu	2016	1478,67	10.3390/rs8090724	FALSE	MDPI
slu	2016	1478,67	10.3390/rs8090736	FALSE	MDPI
slu	2016	1062,79	10.3390/su8090865	FALSE	MDPI
slu	2016	914,54	10.3390/f7050100	FALSE	MDPI
slu	2016	1656,24	10.3390/molecules21040372	FALSE	MDPI
slu	2016	902,15	10.3390/f7030061	FALSE	MDPI
slu	2016	811,94	10.3390/f7010008	FALSE	MDPI
slu	2016	1165	10.1038/srep37930	FALSE	Nature
slu	2016	1165	10.1038/srep39208	FALSE	Nature
slu	2016	932	10.1038/srep35958	FALSE	Nature
slu	2016	1165	10.1038/srep31314	FALSE	Nature
slu	2016	1165	10.1038/srep23198	FALSE	Nature
slu	2016	1165	10.1038/srep28498	FALSE	Nature
slu	2016	1165	10.1038/srep23518	FALSE	Nature
slu	2016	1165	10.1038/srep22806	FALSE	Nature
slu	2016	1165	10.1038/srep21930	FALSE	Nature
slu	2016	1165	10.1038/srep21895	FALSE	Nature
slu	2016	1409,5	10.1371/journal.pone.0168776	FALSE	PLoS
slu	2016	1409,5	10.1371/journal.pone.0167964	FALSE	PLoS
slu	2016	1360,61	10.1371/journal.pone.0166863	FALSE	PLoS
slu	2016	1360,61	10.1371/journal.pone.0166520	FALSE	PLoS
slu	2016	1228,64	10.1371/journal.pone.0166510	FALSE	PLoS
slu	2016	1337,72	10.1371/journal.pone.0165742	FALSE	PLoS
slu	2016	2020,43	10.1371/journal.pntd.0005043	FALSE	PLoS
slu	2016	1342,46	10.1371/journal.pone.0162751	FALSE	PLoS
slu	2016	1338,67	10.1371/journal.pone.0162086	FALSE	PLoS
slu	2016	1347,89	10.1371/journal.pone.0160334	FALSE	PLoS
slu	2016	1342,79	10.1371/journal.pone.0157977	FALSE	PLoS
slu	2016	1342,79	10.1371/journal.pone.0157972	FALSE	PLoS
slu	2016	1311,36	10.1371/journal.pone.0157136	FALSE	PLoS
slu	2016	1311,36	10.1371/journal.pone.0155541	FALSE	PLoS
slu	2016	1313,01	10.1371/journal.pone.0155137	FALSE	PLoS
slu	2016	1378	10.1371/journal.pone.0149594	FALSE	PLoS
slu	2016	1976,1	10.1371/journal.pgen.1005924	FALSE	PLoS
slu	2016	1313,01	10.1371/journal.pone.0152966	FALSE	PLoS
slu	2016	1376,06	10.1371/journal.pone.0150870	FALSE	PLoS
slu	2016	1376,06	10.1371/journal.pone.0151969	FALSE	PLoS
slu	2016	1376,06	10.1371/journal.pone.0151481	FALSE	PLoS
slu	2016	1237,47	10.1371/journal.pone.0148960	FALSE	PLoS
slu	2016	1234,34	10.1371/journal.pone.0147791	FALSE	PLoS
slu	2016	914,33	10.1371/journal.pone.0147796	FALSE	PLoS
slu	2016	1234,34	10.1371/journal.pone.0147004	FALSE	PLoS
slu	2016	886,23	10.1186/s40064-016-3288-9	FALSE	Springer
slu	2016	1224	10.1002/ece3.2601	FALSE	Wiley
slu	2016	1912	10.1002/ece3.2594	FALSE	Wiley
slu	2016	1912	10.1002/ece3.2598	FALSE	Wiley
slu	2016	1224	10.1002/ece3.2597	FALSE	Wiley
slu	2016	1203	10.1002/ecs2.1583	FALSE	Wiley
slu	2016	1503,75	10.1002/ecs2.1541	FALSE	Wiley
slu	2016	1823	10.1111/gcbb.12399	FALSE	Wiley
slu	2016	3581,73	10.1111/mec.13797	TRUE	Wiley
slu	2016	2704,79	10.1111/eff.12290	TRUE	Wiley
slu	2016	2704,79	10.1111/1365-2664.12719	TRUE	Wiley
slu	2016	1224	10.1002/ece3.2279	FALSE	Wiley
slu	2016	1823	10.1111/gcbb.12373	FALSE	Wiley
slu	2016	2631,49	10.1111/1365-2664.12709	TRUE	Wiley
slu	2016	2634,8	10.1111/1365-2664.12654	TRUE	Wiley
slu	2016	1377	10.1002/ece3.2076	FALSE	Wiley
slu	2016	1203	10.1002/ecs2.1257	FALSE	Wiley
slu	2016	2765,22	10.1890/14-2413	FALSE	Wiley
slu	2016	2765,22	10.1111/apm.1253	TRUE	Wiley
slu	2016	1224	10.1002/ece3.2032	FALSE	Wiley
slu	2016	1530	10.1002/ece3.2003	FALSE	Wiley
slu	2016	1222	10.1111/jvim.13830	FALSE	Wiley
slu	2016	123,57	10.5897/JEN2016.0159 	FALSE	Academic Journals
slu	2016	1315,75	10.1155/2016/3841803	FALSE	Hindawi
slu	2015	669,4	10.1016/j.gecco.2015.10.009	FALSE	Elsevier
slu	2015	2945,38	10.1016/j.agee.2015.12.021	TRUE	Elsevier
slu	2015	981,79	10.1016/j.foodpol.2015.11.002	TRUE	Elsevier
slu	2015	2231,35	10.1016/j.fcr.2015.11.006	TRUE	Elsevier
slu	2015	981,79	10.1016/j.foodpol.2015.10.008	TRUE	Elsevier
slu	2015	2677,62	10.1016/j.vetimm.2015.10.002	TRUE	Elsevier
slu	2015	2690	10.1016/j.tplants.2015.08.007	TRUE	Elsevier
slu	2015	2689.86	10.1016/j.watres.2015.08.024	TRUE	Elsevier
slu	2015	2241.55	10.1016/j.plantsci.2015.08.021	TRUE	Elsevier
slu	2015	1569,08	10.1016/j.ijpddr.2015.07.003	FALSE	Elsevier
slu	2015	2241,55	10.1016/j.jveb.2015.05.004	TRUE	Elsevier
slu	2015	2303,34	10.1016/j.jchromb.2015.07.009	TRUE	Elsevier
slu	2015	1328,85	10.1016/j.ufug.2015.06.002	TRUE	Elsevier
slu	2015	2214,75	10.1016/j.ecocom.2015.04.001	TRUE	Elsevier
slu	2015	2214,75	10.1016/j.marpolbul.2015.04.033	TRUE	Elsevier
slu	2015	2214,75	10.1016/j.marpolbul.2015.02.010	TRUE	Elsevier
slu	2015	2214,75	10.1016/j.wasman.2015.02.009	TRUE	Elsevier
slu	2015	1995,05	10.1016/j.anireprosci.2014.12.011	TRUE	Elsevier
slu	2015	3134,5	10.1002/2015JG003190	TRUE	Wiley
slu	2015	2833,55	10.1111/jvs.12387	TRUE	Wiley
slu	2015	889	10.1111/jvim.13829	FALSE	Wiley
slu	2015	1224	10.1002/ece3.1866	FALSE	Wiley
slu	2015	1224	10.1002/ece3.1923	FALSE	Wiley
slu	2015	1200	10.1002/iid3.95	FALSE	Wiley
slu	2015	2686,72	10.1111/ppl.12397	TRUE	Wiley
slu	2015	2622,5	10.1111/1751-7915.12330	FALSE	Wiley
slu	2015	2654,21	10.1111/wre.12183	TRUE	Wiley
slu	2015	2654,21	10.1111/age.12334	TRUE	Wiley
slu	2015	2744,2	10.1111/efp.12236	TRUE	Wiley
slu	2015	1375	10.1111/conl.12200	FALSE	Wiley
slu	2015	2747,67	10.1111/een.12247	TRUE	Wiley
slu	2015	2747,67	10.1111/nph.13536	TRUE	Wiley
slu	2015	2747,67	10.1111/anti.12170	TRUE	Wiley
slu	2015	1530	10.1002/ece3.1527	FALSE	Wiley
slu	2015	2692,78	10.1111/1744-7917.12233	TRUE	Wiley
slu	2015	2790,85	10.1111/imb.12176	TRUE	Wiley
slu	2015	1860,56	10.1111/jav.00623	TRUE	Wiley
slu	2015	2675,75	10.1111/evj.12446	TRUE	Wiley
slu	2015	1375	10.1111/conl.12171	FALSE	Wiley
slu	2015	1130	10.14814/phy2.12355	FALSE	Wiley
slu	2015	3283,78	10.1111/gcb.12872	TRUE	Wiley
slu	2015	2315,41	10.1080/02827581.2015.1028435	TRUE	T&F
slu	2015	2377,65	10.1080/02827581.2015.1046482	TRUE	T&F
slu	2015	1253,08	10.1371/journal.pone.0142257	FALSE	PLOS
slu	2015	1234,89	10.1371/journal.pone.0137871	FALSE	PLOS
slu	2015	1236,45	10.1371/journal.pone.0131182	FALSE	PLOS
slu	2015	1234,89	10.1371/journal.pone.0136928	FALSE	PLOS
slu	2015	2019,58	10.1371/journal.pgen.1005295	FALSE	PLOS
slu	2015	1211,75	10.1371/journal.pone.0129815	FALSE	PLOS
slu	2015	1211,75	10.1371/journal.pone.0129614	FALSE	PLOS
